Code	Short	Wolbachia	Spp	Perc_Dsim	CC	Country	Loc	Date	Year	Month	Day	Lat	Lon	Alt	Season	Flies	Kallithea_virus	Esparto_virus	Viltain_virus	Linvill_Road_virus	Tomelloso_virus	Mauternbach_virus	Yalta_virus	Drosophila-associated_Adintovirus_1	Drosophila-associated_Adintovirus_2	Drosophila-associated_Adintovirus_3	Filamentous_virus	Hytrosa_virus	Nudivirus_Kaniv	Vesanto_virus	Vesanto_S01	Vesanto_S02	Vesanto_S03	Vesanto_S04	Vesanto_S05	Vesanto_S06	Vesanto_S07	Vesanto_S08	Vesanto_S09	Vesanto_S10	Vesanto_S11	Vesanto_S12	Relative_Galbut																	
UA_Ode_14_20	2014_20	1.854640578	Dmel	0.001197487	UA	Ukraine	Ode	2014/07/22	Y2014	7	22	46.44155556	30.77169444	11.1	S	40	2.912893686	0	0	0	0	1.88E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
UA_Ode_14_21	2014_21	3.644876114	Dsim	0.053308079	UA	Ukraine	Ode	2014/08/29	Y2014	8	29	46.44155556	30.77169444	11.1	S	40	8.267895541	0	0	0.572180582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
UA_Ode_14_22	2014_22	2.441478672	Dsim	0.023407813	UA	Ukraine	Ode	2014/10/10	Y2014	10	10	46.44155556	30.77169444	11.1	F	40	0.396719549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
UA_Kyi_14_23	2014_23	0.90392215	Dmel	0	UA	Ukraine	Kyi	2014/08/09	Y2014	8	9	50.34402778	30.48911111	167.7	S	40	0.150534283	0	0.000821652	0	0	1.34E-05	0	0	0	0	0	0	0	15.99175599	1.331665753	2.263922654	5.166514227	1.781476101	15.99175599	1.224282626	1.003954731	0.478459929	0.007645928	8.104886097	0.834856792	0	0																	
UA_Kyi_14_24	2014_24	0.99574866	Dmel	0	UA	Ukraine	Kyi	2014/09/08	Y2014	9	8	50.34402778	30.48911111	167.7	F	40	0.000552517	0	0	0	0	1.95E-05	0	0	0	0	0	0	0	8.78869272	0.437752316	1.607355914	2.216359179	0.974081697	8.78869272	0.329954108	0.467006895	0.723424868	2.700065568	8.407376054	0.703028244	0	0																	
UA_Var_14_25	2014_25	1.686388	Dmel	0	UA	Ukraine	Var	2014/08/18	Y2014	8	18	50.48469444	32.71425	130.7	S	40	4.58E-05	1.27E-05	0	0	0	0	0	0	0	0	0	0	0	0.001077535	0	0	0	0	0	0	0	0	0.001077535	0	0	0	0																	
UA_Pyr_14_26	2014_26	5.498806328	Dmel	0	UA	Ukraine	Pyr	2014/08/20	Y2014	8	20	50.25375	32.51880556	98.3	S	40	2.28E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.003342239	0.000594577	0.000708536	0.00071232	0.001136909	0.002350897	0	0.001664701	0	0	0.003342239	0	0	0.006170059																	
UA_Dro_14_27	2014_27	7.240442348	Dmel	0	UA	Ukraine	Dro	2014/08/24	Y2014	8	24	49.32991667	23.50280556	310.9	S	40	0.387444303	0	0	0	0	0	0	0	0	0	0	0	0	6.745513327	1.532327096	1.840277117	1.369449504	0.880214415	6.052635602	0.529518689	0	0.210472923	0	6.745513327	0.250394535	0	0.009738969																	
UA_Cho_14_28	2014_28	4.644319153	Dmel	0	UA	Ukraine	Cho	2014/09/13	Y2014	9	13	51.37330556	30.13830556	112	F	40	0.81238133	2.54E-05	0	0	0	0	0	0	0	0	0	0	0	1.876666094	0.272036654	0.358824482	0.685694135	0.699144714	1.876666094	0.381504612	0.218570244	0.570199467	0	0.002238907	0	0	0.009644167																	
UA_Cho_14_29	2014_29	2.728032117	Dmel	0.002204649	UA	Ukraine	Cho	2014/09/13	Y2014	9	13	51.38691667	30.07330556	108.8	F	40	0.000248614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	
SE_Lun_14_30	2014_30	4.146849006	Dmel	0	SE	Sweden	Lun	2014/07/31	Y2014	7	31	55.694	13.198	28.2	S	40	6.55E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.001172863	0	0	0	0	0	0.001172863	0	0	0	0	0	0	0																	
DE_Mun_14_31	2014_31	8.40600222	Dmel	0	DE	Germany	Mun	2014/06/19	Y2014	6	19	48.18	11.61	502	S	40	1.87E-05	0.000574053	0	0	0	0	0	0	0	0	0	0	0	14.07570904	2.245571517	2.587657067	5.448267726	4.73632326	14.07570904	1.907326162	3.061002289	3.036038841	0	6.620401913	0.536869461	0	0																	
DE_Mun_14_32	2014_32	3.551476787	Dmel	0	DE	Germany	Mun	2014/09/03	Y2014	9	3	48.18	11.61	502	F	40	1.252373289	0	0	0	0	1.64E-05	0	0	0	0	0	0	0	11.76495818	1.55976032	1.84884992	1.536330071	2.239208825	11.76495818	0.921288136	2.446853142	3.61721584	3.582354042	5.984062916	0.467487958	0	0																	
PT_Rec_14_33	2014_33	5.633735204	Dsim	0.022456698	PT	Portugal	Rec	2014/09/26	Y2014	9	26	41.15	-8.41	97	F	40	4.189732756	1.36E-05	0	1.035970548	0	0	0	0	0	0	0	0	0	0.024202618	0.001708243	0.001017825	0.002558153	0.00217759	0.024202618	0	0.00597844	0.004876394	0.001153064	0.015603873	0	0	0																	
ES_Gim_14_34	2014_34	7.450653397	Dsim	0.182454727	ES	Spain	Gim	2014/10/20	Y2014	10	20	41.6175899	0.6200146	186.3	F	40	18.07065862	0.006025332	0	0	0	1.50E-05	3.17E-05	0	0	0	0	0	0	0.001899999	0	0.001899999	0	0.00101624	0.001050689	0	0	0.001137861	0.001076226	0.001120313	0	0	0																	
ES_Gim_14_35	2014_35	5.460288026	Dsim	0.172932572	ES	Spain	Gim	2014/08/13	Y2014	8	13	41.6175899	0.6200146	186.3	S	40	0.001091722	1.21E-05	0	0.000909473	0	1.44E-05	0	0	0	0	0	0	0	0.015038672	0.002662453	0.007251995	0	0.001939413	0.015038672	0.002084778	0	0	0	0.004810563	0	0	0																	
FI_Aka_14_36	2014_36	0.472971196	Dmel	0	FI	Finland	Aka	2014/07/25	Y2014	7	25	61.1	23.52	110	S	40	0.001290174	0	0	0	0	0	0	0	0	0	0	0	0	0.006439269	0	0.002328873	0.001170656	0.002491258	0.006439269	0	0	0.002789404	0.001319156	0.003432984	0	0	0																	
FI_Aka_14_37	2014_37	3.382511404	Dmel	0	FI	Finland	Aka	2014/08/27	Y2014	8	27	61.1	23.52	110	S	40	0.000430324	1.56E-05	0	0	0	0	0	0	0	0	0	0	0	0.001288652	0	0	0	0.001246401	0.001288652	0	0	0	0	0	0	0	0																	
FI_Ves_14_38	2014_38	4.7575239	Dmel	0.001682738	FI	Finland	Ves	2014/07/26	Y2014	7	26	62.55	26.24	105	S	33	0.000336766	1.08E-05	0	0	0	0	0	0	0	0	0	0	0	44.94888301	15.55999499	17.98489703	0	6.941769291	44.94888301	3.810342734	2.825210254	3.854387134	0	23.75420255	0.76911003	0	0																	
DK_Kar_14_39	2014_39	1.765530481	Dmel	0	DK	Denmark	Kar	2014/09/01	Y2014	9	1	55.945128	10.212586	16	F	40	0.000503595	0.001175221	0	0	0	0	0	0	0	0	0	0	0	0.046433903	0.01188532	0.01669246	0.001017068	0.003246613	0.046433903	0.002326638	0.000594225	0.001817579	0	0.026843231	0.002253771	0	0.05873173																	
DK_Kar_14_41	2014_41	3.174384193	Dmel	0.001383248	DK	Denmark	Kar	2014/11/25	Y2014	11	25	55.945128	10.212586	16	F	40	0.000327409	0.020061564	0	0	0	0	0	0	0	0	0	0	0	0.008456468	0.004277534	0.001911518	0	0.001363201	0.008456468	0	0	0	0	0.006011224	0	0	0.011097233																	
CH_Cha_14_42	2014_42	0.852711332	Dmel	0	CH	Switzerland	Cha	2014/07/24	Y2014	7	24	46.5670416	6.701867	869.9	S	40	0.000107906	0	0	0	0	1.18E-05	0	0	0	0	0	0	0	0.029728595	0.003446119	0.011199856	0	0.003194876	0.029728595	0.001717171	0.001315701	0.004471537	0	0.012327218	0.000665357	0	0																	
CH_Cha_14_43	2014_43	1.562750648	Dsim	0.025921408	CH	Switzerland	Cha	2014/10/05	Y2014	10	5	46.5670416	6.701867	869.9	F	40	0.179826829	0.000114307	0	0	0	0	0	0	0	0	0	0	0	0.017358026	0.005387855	0.004280339	0	0.001526265	0.017358026	0	0	0.00512677	0.003232713	0.012619266	0	0	0																	
AT_See_14_44	2014_44	1.89629934	Dmel	0.001997411	AT	Austria	See	2014/08/17	Y2014	8	17	46.8136889	13.50794792	591.7	S	40	0.004149294	0.000158494	0	0	0	0	0	0	0	0	0	0	0	0.265589591	0.011876344	0.068480335	0.156969082	0.017581259	0.265589591	0.002624865	0.002145257	0.006561777	0.001034391	0.093140076	0.005695555	0.076108644	0																	
UA_Kha_14_45	2014_45	3.261474734	Dmel	0	UA	Ukraine	Kha	2014/07/26	Y2014	7	26	49.81852778	36.05475	104.3	S	40	9.104091831	2.54E-05	0	0.001431013	0	1.51E-05	0	0	0	0	0	0	0	2.408857572	0.805133231	0.999860504	0.000477984	0.344828141	2.408857572	0.205018832	0.190458	0.240313514	0.05547759	1.185280097	0.036859788	0	0.012420785																	
UA_Kha_14_46	2014_46	4.074662837	Dmel	0	UA	Ukraine	Kha	2014/09/14	Y2014	9	14	49.81852778	36.05475	104.3	F	40	14.00304575	0.000123667	0	0.000929208	0	2.93E-05	0	0	0	0	0	0	0	0.709280075	0.065674081	0.119475968	0.261643868	0.190719213	0.668377855	0.047392891	0.004896075	0.183592293	0.709280075	0.557573931	0.07262848	0	0																	
UA_Cho_14_47	2014_47	1.891821438	Dmel	0.001177718	UA	Ukraine	Cho	2014/09/13	Y2014	9	13	51.27263889	30.22136111	127	F	40	0.44753615	0.000771775	0	0.000999819	0	0	0	0	0	0	0	0	0	0.020390199	0.002508804	0.003487925	0.006011235	0.001066036	0.020390199	0.001145939	0.001170695	0	0.001128962	0.003525625	0	0	0.017356281																	
UA_Cho_14_48	2014_48	1.682172272	Dmel	0	UA	Ukraine	Cho	2014/09/13	Y2014	9	13	51.27888889	29.39438889	127	F	35	0.017584385	0	0	0.002080809	0	0	0	0	0	0	0	0	0	18.59089864	3.109713009	2.515251133	8.988795256	3.034517595	18.59089864	0.767941765	2.183654566	2.231997759	9.905830453	0.020178082	0.001848177	0	0																	
